,Method,Optimization,Mean,Lower Bound,Upper Bound
0,Remove Random,Absolute Residuals,3.5073749917780725,3.446848856443674,3.567901127112471
20,Remove Random,Absolute Residuals,3.6055415128897197,3.517109374151165,3.693973651628274
50,Remove Random,Absolute Residuals,3.640039949864972,3.4919403707948904,3.7881395289350532
80,Remove Random,Absolute Residuals,24346.377164029363,-26603.56914719616,75296.32347525489
0,Remove Random,Sum Residuals,7.387670258934174,5.9418883826342075,8.83345213523414
20,Remove Random,Sum Residuals,8.464897643829119,7.113251690415592,9.816543597242646
50,Remove Random,Sum Residuals,91.63755525311501,-81.28328684550547,264.5583973517355
80,Remove Random,Sum Residuals,115409591648.46414,-126145459759.70953,356964643056.6378
40+60,Combine,Absolute Residuals,3.531763342066854,3.4850130440040665,3.578513640129642
40+60,Combine,Sum Residuals,122967592657.74991,-134406536669.83548,380341721985.3353
20,Remove Last,Absolute Residuals,3.5653312794758185,3.508105423658338,3.622557135293299
50,Remove Last,Absolute Residuals,3.523322430958139,3.4760499169835275,3.57059494493275
20,Remove Last,Sum Residuals,7.33614153469816,5.769832872129406,8.902450197266914
50,Remove Last,Sum Residuals,1.4175686429610547e+73,-1.5494366255313113e+73,4.384573911453421e+73
20,Peaks Predator,Absolute Residuals,3.513958016671689,3.454891279870612,3.573024753472766
50,Peaks Predator,Absolute Residuals,2461.318661199267,-2682.7907561394777,7605.4280785380115
20,Peaks Predator,Sum Residuals,7.457551709388161,6.189694127878236,8.725409290898085
50,Peaks Predator,Sum Residuals,2.5728571630255187e+82,-2.812194767743493e+82,7.95790909379453e+82
